x_pos,y_pos
0,0
1,0
2,0
3,4
4,2
5,2
6,2
7,1
8,5
9,0
10,0
11,-3
12,-7
13,-7
14,-10
15,-7
16,-7
17,-4
18,-5
19,-6
20,-3
21,-3
22,2
23,-1
24,-1
25,1
26,-1
27,-6
28,-5
29,-4
30,-5
31,-10
32,-10
33,-7
34,-10
35,-6
36,-6
37,-11
38,-13
39,-12
40,-7
41,-9
42,-4
